direction,entry_time,entry_price,sl_price,tp_price,sl_distance,risk_amount,macd_line,macd_sig,exit_price,exit_time,result,pnl,capital,year
SELL,2023-06-21 16:30:00,1923.79,1930.09,1917.49,6.3,825.6,-2.9555,-1.7587,1930.09,2023-06-21 16:45:00,SL,-825.6,26694.43,2023
SELL,2023-06-22 09:45:00,1928.05,1931.44,1924.66,3.39,800.83,-1.2781,-1.0697,1931.44,2023-06-22 11:00:00,SL,-800.83,25893.6,2023
SELL,2023-06-22 17:45:00,1915.4,1920.43,1910.37,5.03,776.81,-4.0754,-3.0285,1910.37,2023-06-23 05:45:00,TP,776.81,26670.41,2023
SELL,2023-06-28 09:15:00,1913.06,1916.3,1909.82,3.24,800.11,-0.2088,-0.0294,1909.82,2023-06-28 09:30:00,TP,800.11,27470.52,2023
SELL,2023-07-05 21:00:00,1918.46,1921.3,1915.62,2.84,824.12,-2.5552,-1.9864,1915.62,2023-07-05 22:00:00,TP,824.12,28294.64,2023
BUY,2023-07-07 15:15:00,1921.67,1914.24,1929.1,7.43,848.84,1.9685,1.5218,1929.1,2023-07-07 17:15:00,TP,848.84,29143.48,2023
SELL,2023-07-11 16:30:00,1929.87,1933.59,1926.15,3.72,874.3,-0.4003,0.8469,1933.59,2023-07-11 16:45:00,SL,-874.3,28269.18,2023
SELL,2023-07-14 09:15:00,1957.54,1960.35,1954.73,2.81,848.08,-0.7035,-0.0542,1954.73,2023-07-14 10:30:00,TP,848.08,29117.26,2023
BUY,2023-07-19 16:30:00,1978.6,1975.55,1981.65,3.05,873.52,0.1811,-0.2495,1975.55,2023-07-19 17:00:00,SL,-873.52,28243.74,2023
SELL,2023-07-24 16:45:00,1959.43,1966.34,1952.52,6.91,847.31,-0.0053,1.0025,1952.52,2023-07-25 17:00:00,TP,847.31,29091.05,2023
SELL,2023-07-27 19:00:00,1944.59,1947.77,1941.41,3.18,872.73,-10.6981,-10.337,1947.77,2023-07-27 20:00:00,SL,-872.73,28218.32,2023
SELL,2023-07-28 10:15:00,1950.66,1953.4,1947.92,2.74,846.55,0.5126,0.9158,1947.92,2023-07-28 11:15:00,TP,846.55,29064.87,2023
SELL,2023-08-01 15:00:00,1953.11,1956.06,1950.16,2.95,871.95,-1.9078,-1.7391,1950.16,2023-08-01 15:30:00,TP,871.95,29936.82,2023
BUY,2023-08-03 13:15:00,1936.62,1934.96,1938.28,1.66,898.1,0.3171,0.1413,1934.96,2023-08-03 13:30:00,SL,-898.1,29038.72,2023
SELL,2023-08-07 05:00:00,1940.84,1942.91,1938.77,2.07,871.16,0.2081,0.8002,1938.77,2023-08-07 06:45:00,TP,871.16,29909.88,2023
BUY,2023-08-10 15:15:00,1924.03,1921.12,1926.94,2.91,897.3,1.5734,1.294,1926.94,2023-08-10 15:30:00,TP,897.3,30807.18,2023
SELL,2023-08-16 15:15:00,1901.9,1904.17,1899.63,2.27,924.22,-0.4668,0.2197,1904.17,2023-08-16 15:30:00,SL,-924.22,29882.96,2023
BUY,2023-08-21 08:00:00,1893.51,1892.43,1894.59,1.08,896.49,1.3196,0.8768,1892.43,2023-08-21 08:15:00,SL,-896.49,28986.47,2023
BUY,2023-08-21 15:30:00,1896.6,1892.8,1900.4,3.8,869.59,1.7037,0.5379,1892.8,2023-08-21 16:30:00,SL,-869.59,28116.88,2023
BUY,2023-08-23 09:15:00,1904.01,1902.25,1905.77,1.76,843.51,1.5605,1.4345,1902.25,2023-08-23 10:30:00,SL,-843.51,27273.37,2023
BUY,2023-08-23 15:15:00,1906.57,1902.68,1910.46,3.89,818.2,0.7463,0.5283,1910.46,2023-08-23 16:15:00,TP,818.2,28091.57,2023
BUY,2023-08-28 15:30:00,1916.65,1913.4,1919.9,3.25,842.75,0.001,-0.2309,1913.4,2023-08-28 16:30:00,SL,-842.75,27248.82,2023
SELL,2023-09-04 12:15:00,1942.44,1944.25,1940.63,1.81,817.46,-0.1112,0.2779,1940.63,2023-09-04 13:45:00,TP,817.46,28066.28,2023
BUY,2023-09-11 04:00:00,1920.66,1919.1,1922.22,1.56,841.99,-0.1909,-0.6649,1922.22,2023-09-11 04:30:00,TP,841.99,28908.27,2023
SELL,2023-09-11 14:30:00,1924.89,1926.57,1923.21,1.68,867.25,0.0956,0.5208,1926.57,2023-09-11 15:15:00,SL,-867.25,28041.02,2023
SELL,2023-09-11 21:30:00,1921.57,1922.93,1920.21,1.36,841.23,-1.1237,-0.9195,1922.93,2023-09-11 22:30:00,SL,-841.23,27199.79,2023
BUY,2023-09-12 04:00:00,1923.16,1921.12,1925.2,2.04,815.99,-0.4878,-0.6445,1921.12,2023-09-12 04:30:00,SL,-815.99,26383.8,2023
SELL,2023-09-13 04:15:00,1912.14,1913.85,1910.43,1.71,791.51,-0.2313,-0.1234,1910.43,2023-09-13 05:15:00,TP,791.51,27175.31,2023
BUY,2023-09-13 17:30:00,1914.04,1909.77,1918.31,4.27,815.26,0.5916,0.3882,1909.77,2023-09-13 18:45:00,SL,-815.26,26360.05,2023
SELL,2023-09-19 08:30:00,1930.51,1931.82,1929.2,1.31,790.8,-0.4934,-0.1372,1931.82,2023-09-19 10:00:00,SL,-790.8,25569.25,2023
BUY,2023-09-28 14:30:00,1876.55,1874.59,1878.51,1.96,767.08,0.0015,-0.1864,1874.59,2023-09-28 15:30:00,SL,-767.08,24802.17,2023
BUY,2023-10-04 13:45:00,1823.13,1821.11,1825.15,2.02,744.07,0.3282,0.1466,1825.15,2023-10-04 14:00:00,TP,744.07,25546.24,2023
BUY,2023-10-09 21:45:00,1857.1,1854.63,1859.57,2.47,766.39,2.3081,1.4917,1859.57,2023-10-09 22:00:00,TP,766.39,26312.63,2023
SELL,2023-10-11 07:15:00,1859.71,1860.67,1858.75,0.96,789.38,0.0498,0.3089,1858.75,2023-10-11 08:30:00,TP,789.38,27102.01,2023
BUY,2023-10-16 15:00:00,1916.95,1914.62,1919.28,2.33,813.06,0.0714,-0.527,1919.28,2023-10-16 15:15:00,TP,813.06,27915.07,2023
BUY,2023-10-18 03:00:00,1926.09,1923.82,1928.36,2.27,837.45,0.7646,0.4154,1928.36,2023-10-18 04:00:00,TP,837.45,28752.52,2023
BUY,2023-10-19 11:00:00,1953.36,1949.13,1957.59,4.23,862.58,0.9393,0.005,1949.13,2023-10-19 11:30:00,SL,-862.58,27889.94,2023
BUY,2023-10-23 08:30:00,1975.83,1972.74,1978.92,3.09,836.7,-0.2392,-1.2187,1978.92,2023-10-23 10:30:00,TP,836.7,28726.64,2023
SELL,2023-10-24 02:30:00,1972.29,1973.8,1970.78,1.51,861.8,-1.2277,-1.2197,1973.8,2023-10-24 03:00:00,SL,-861.8,27864.84,2023
SELL,2023-10-26 15:15:00,1983.52,1986.73,1980.31,3.21,835.95,-1.0509,0.0928,1980.31,2023-10-26 15:30:00,TP,835.95,28700.79,2023
SELL,2023-10-31 06:30:00,1990.85,1992.98,1988.72,2.13,861.02,-1.6407,-1.092,1992.98,2023-10-31 06:45:00,SL,-861.02,27839.77,2023
SELL,2023-11-06 01:00:00,1989.07,1992.86,1985.28,3.79,835.19,-0.1856,0.3969,1992.86,2023-11-06 03:30:00,SL,-835.19,27004.58,2023
SELL,2023-11-08 07:00:00,1967.25,1967.94,1966.56,0.69,810.14,-0.1503,0.1483,1966.56,2023-11-08 07:15:00,TP,810.14,27814.72,2023
SELL,2023-11-10 14:15:00,1946.81,1949.25,1944.37,2.44,834.44,-3.2547,-2.3917,1944.37,2023-11-10 14:30:00,TP,834.44,28649.16,2023
SELL,2023-11-24 10:00:00,1992.59,1994.3,1990.88,1.71,859.47,-0.0068,0.0839,1994.3,2023-11-24 11:15:00,SL,-859.47,27789.69,2023
BUY,2023-11-24 15:15:00,1997.91,1994.35,2001.47,3.56,833.69,1.0223,0.8498,2001.47,2023-11-24 15:30:00,TP,833.69,28623.38,2023
BUY,2023-11-24 20:30:00,2002.33,1999.82,2004.84,2.51,858.7,1.7369,1.6908,2004.84,2023-11-27 03:00:00,TP,858.7,29482.08,2023
BUY,2023-12-07 10:00:00,2030.9,2028.81,2032.99,2.09,884.46,0.9457,0.3775,2032.99,2023-12-07 10:15:00,TP,884.46,30366.54,2023
BUY,2023-12-07 15:30:00,2037.08,2029.91,2044.25,7.17,911.0,1.4794,1.2654,2029.91,2023-12-07 16:30:00,SL,-911.0,29455.54,2023
SELL,2023-12-08 01:00:00,2028.19,2028.94,2027.44,0.75,883.67,-0.4281,-0.273,2027.44,2023-12-08 01:15:00,TP,883.67,30339.21,2023
SELL,2023-12-11 19:45:00,1976.71,1980.27,1973.15,3.56,910.18,-5.6839,-4.9706,1980.27,2023-12-11 20:30:00,SL,-910.18,29429.03,2023
BUY,2023-12-12 07:30:00,1987.24,1984.81,1989.67,2.43,882.87,1.0669,0.7203,1984.81,2023-12-12 10:30:00,SL,-882.87,28546.16,2023
BUY,2024-01-05 01:00:00,2044.4,2042.98,2045.82,1.42,856.38,-0.1226,-0.245,2042.98,2024-01-05 01:15:00,SL,-856.38,27689.78,2024
